INFO:root:2022-04-02 11:44:32.668589 - Amostra 0 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:34.693992 - Amostra 1 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:36.716318 - Amostra 2 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:38.742519 - Amostra 3 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:40.766444 - Amostra 4 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:42.789183 - Amostra 5 | Leitura: 30788 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:44.815396 - Amostra 6 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:44:46.842044 - Amostra 7 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:48.868436 - Amostra 8 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:50.894732 - Amostra 9 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:52.921496 - Amostra 10 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:54.947356 - Amostra 11 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:56.973727 - Amostra 12 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:44:58.999285 - Amostra 13 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:01.024296 - Amostra 14 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:45:03.051735 - Amostra 15 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:45:05.079540 - Amostra 16 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:07.106633 - Amostra 17 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:09.133013 - Amostra 18 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:11.159245 - Amostra 19 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:13.184244 - Amostra 20 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:15.210883 - Amostra 21 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:17.237321 - Amostra 22 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:19.263744 - Amostra 23 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:21.290405 - Amostra 24 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:23.316989 - Amostra 25 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:45:25.343440 - Amostra 26 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:45:27.367285 - Amostra 27 | Leitura: 30748 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:45:29.393219 - Amostra 28 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:31.419545 - Amostra 29 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:33.446155 - Amostra 30 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:35.471735 - Amostra 31 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:37.498458 - Amostra 32 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:39.525041 - Amostra 33 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:41.551720 - Amostra 34 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:43.578223 - Amostra 35 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:45.603521 - Amostra 36 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:47.628619 - Amostra 37 | Leitura: 30748 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:49.656485 - Amostra 38 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:51.683782 - Amostra 39 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:45:53.710448 - Amostra 40 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:45:55.737276 - Amostra 41 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:57.764504 - Amostra 42 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:45:59.792052 - Amostra 43 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:01.819182 - Amostra 44 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:03.846611 - Amostra 45 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:05.872526 - Amostra 46 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:07.897483 - Amostra 47 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:09.923540 - Amostra 48 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:11.949993 - Amostra 49 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:46:13.976284 - Amostra 50 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:46:16.001798 - Amostra 51 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:46:18.028268 - Amostra 52 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:20.054500 - Amostra 53 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:22.080649 - Amostra 54 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:46:24.107063 - Amostra 55 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:26.133485 - Amostra 56 | Leitura: 30768 | Tensão 3.8436172978911713
INFO:root:2022-04-02 11:46:28.159548 - Amostra 57 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:30.184848 - Amostra 58 | Leitura: 30768 | Tensão 3.8461173741874446
INFO:root:2022-04-02 11:46:32.211894 - Amostra 59 | Leitura: 30768 | Tensão 3.8461173741874446
